Source page: http://www.encyclopedia-titanica.org/titanic-survivors/,
col_image,col_image/_alt,name_link,name_link/_text,name_link/_title,age_link,age_link/_text,age_link/_title,classdept_link,classdept_link/_text,classdept_link/_title,joined_link,joined_link/_text,joined_link/_title,job_link,job_link/_text,job_link/_title,boatbody_link,boatbody_link/_text,boatbody_link/_title,age_link_numbers,classdept_value,ticket_values,ticket_values_prices
"http://www.encyclopedia-titanica.org/images/rhoda-rosa-abbott-thm.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/rhoda-mary-rosa-abbott.html","ABBOTT, Mrs Rhoda Mary 'Rosa'","","http://www.encyclopedia-titanica.org/titanic-ages/39.html","39","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-a/","A","","39","","CA2673; £20 5s","20"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/karen-marie-abelseth.html","ABELSETH, Miss Karen Marie","","http://www.encyclopedia-titanica.org/titanic-ages/16.html","16","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-16/","16","","16","","348125; £7 13s","7"
"http://www.encyclopedia-titanica.org/images/abelseth_oj_02_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/olaus-jorgensen-abelseth.html","ABELSETH, Mr Olaus Jørgensen","","http://www.encyclopedia-titanica.org/titanic-ages/25.html","25","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/farmer.html","Farmer","","http://www.encyclopedia-titanica.org/titanic-lifeboat-a/","A","","25","","348122; £7 13s","7"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/abelson.html","ABELSON, Mrs Hannah","","http://www.encyclopedia-titanica.org/titanic-ages/28.html","28","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-10/","10","","28","","3381; £24","24"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/august-abrahamsson.html","ABRAHAMSSON, Mr Abraham August Johannes","","http://www.encyclopedia-titanica.org/titanic-ages/20.html","20","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-15/","15","","20","","3101284; £7 18s 6d","7"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/mary-sophie-abrahim.html","ABRAHIM, Mrs Mary Sophie Halaut","","http://www.encyclopedia-titanica.org/titanic-ages/18.html","18","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-c/","C","","18","","2657; £7 4s 7d","7"
"http://www.encyclopedia-titanica.org/images/aks_s2_02.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/leah-aks.html","AKS, Mrs Leah","","http://www.encyclopedia-titanica.org/titanic-ages/18.html","18","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-13/","13","","18","","392091; £9 7s","9"
"http://www.encyclopedia-titanica.org/images/aks_fp.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/frank-philip-aks.html","AKS, Master Frank Philip","","http://www.encyclopedia-titanica.org/children-on-titanic/","10m","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-11/","11","","10","","392091; £9 7s","9"
"","","http://www.encyclopedia-titanica.org/titanic-survivor/nassef-cassem-albimona.html","ALBIMONA, Mr Nassef Cassem","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-15/","15","","26","","2699; £18 15s 9d","18"
"http://www.encyclopedia-titanica.org/images/allen_ew_100.jpg","","http://www.encyclopedia-titanica.org/titanic-survivor/elisabeth-walton-allen.html","ALLEN, Miss Elisabeth Walton","","http://www.encyclopedia-titanica.org/titanic-ages/29.html","29","","http://www.encyclopedia-titanica.org/titanic-first-class-passengers/","1st Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/titanic-lifeboat-2/","2","","29","","24160; £211 60s 9d","211"
