Source page: http://www.encyclopedia-titanica.org/titanic-victims/,
col_image,col_image/_alt,name_link,name_link/_text,name_link/_title,age_link,age_link/_text,age_link/_title,classdept_link,classdept_link/_text,classdept_link/_title,joined_link,joined_link/_text,joined_link/_title,job_link,job_link/_text,job_link/_title,boatbody_links,boatbody_links/_text,boatbody_links/_title,age_link_numbers,classdept_value,ticket_values,ticket_values_prices
"http://www.encyclopedia-titanica.org/images/abbing_anthony_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/anthony-abbing.html","ABBING, Mr Anthony","","http://www.encyclopedia-titanica.org/titanic-ages/42.html","42","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/blacksmith.html","Blacksmith","","","","","42","","5547; £7 11s","7"
"http://www.encyclopedia-titanica.org/images/rossmore_abbott_thm.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/rossmore-edward-abbott.html","ABBOTT, Mr Rossmore Edward","","http://www.encyclopedia-titanica.org/titanic-ages/16.html","16","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/jeweller.html","Jeweller","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#190","[190]","","16","","CA2673; £20 5s","20"
"","","http://www.encyclopedia-titanica.org/titanic-victim/eugene-joseph-abbott.html","ABBOTT, Mr Eugene Joseph","","http://www.encyclopedia-titanica.org/titanic-ages/14.html","14","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/scholar.html","Scholar","","","","","14","","CA2673; £20 5s","20"
"","","http://www.encyclopedia-titanica.org/titanic-victim/ernest-owen-abbott.html","ABBOTT, Mr Ernest Owen","","http://www.encyclopedia-titanica.org/titanic-ages/21.html","21","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/pantryman.html","Lounge Pantry Steward","","","","","21","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/samuel-abelson.html","ABELSON, Mr Samuel","","http://www.encyclopedia-titanica.org/titanic-ages/30.html","30","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/cherbourg.html","Cherbourg","","","","","","","","30","","3381; £24","24"
"","","http://www.encyclopedia-titanica.org/titanic-victim/william-thomas-abrams.html","ABRAMS, Mr William Thomas","","http://www.encyclopedia-titanica.org/titanic-ages/33.html","33","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/fireman.html","Fireman","","","","","33","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/john-adams.html","ADAMS, Mr John","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#103","[103]","","26","","341826; £8 1s","8"
"","","http://www.encyclopedia-titanica.org/titanic-victim/r-adams.html","ADAMS, Mr Robert John","","http://www.encyclopedia-titanica.org/titanic-ages/26.html","26","","http://www.encyclopedia-titanica.org/titanic-engineering-crew/","Engineering Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/fireman.html","Fireman","","","","","26","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/percy-snowden-ahier.html","AHIER, Mr Percy Snowden","","http://www.encyclopedia-titanica.org/titanic-ages/20.html","20","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","Saloon Steward","","","","","20","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/johanna-persdotter-ahlin.html","AHLIN, Mrs Johanna Persdotter","","http://www.encyclopedia-titanica.org/titanic-ages/40.html","40","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","","","","","","","40","","7546; £9 9s 6d","9"
"","","http://www.encyclopedia-titanica.org/titanic-victim/albert-akerman.html","AKERMAN, Mr Albert Edward","","http://www.encyclopedia-titanica.org/titanic-ages/31.html","31","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/steward.html","3rd Class Steward","","","","","31","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/joseph-francis-akerman.html","AKERMAN, Mr Joseph Francis","","http://www.encyclopedia-titanica.org/titanic-ages/35.html","35","","http://www.encyclopedia-titanica.org/titanic-victualling-crew/","Victualling Crew","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/pantryman.html","Assistant Pantryman Steward","","http://www.encyclopedia-titanica.org/description-of-recovered-titanic-bodies.html#205","[205]","","35","","",""
"","","http://www.encyclopedia-titanica.org/titanic-victim/augustus-aldworth.html","ALDWORTH, Mr Augustus Henry","","http://www.encyclopedia-titanica.org/titanic-ages/34.html","34","","http://www.encyclopedia-titanica.org/titanic-second-class-passengers/","2nd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/chauffeur.html","Chauffeur","","","","","34","Servant","248744; £13","13"
"http://www.encyclopedia-titanica.org/images/000022a.jpg","","http://www.encyclopedia-titanica.org/titanic-victim/william-alexander.html","ALEXANDER, Mr William Albert","","http://www.encyclopedia-titanica.org/titanic-ages/23.html","23","","http://www.encyclopedia-titanica.org/titanic-third-class-passengers/","3rd Class Passenger","","http://www.encyclopedia-titanica.org/titanic-places/southampton.html","Southampton","","http://www.encyclopedia-titanica.org/titanic-jobs/general-labourer.html","General Labourer","","","","","23","","3474; £7 17s 9d","7"
